"lang"
{
	"Language"	"russian"
	"DOTA_Tooltip_Ability_dawnbreaker_celestial_hammer_lua_pause_duration"                                              "ЗАДЕРЖКА ВОЗВРАТА МОЛОТА:"
	
	"DOTA_Tooltip_Ability_dawnbreaker_converge_lua"                                                                     "Converge"
	"DOTA_Tooltip_Ability_dawnbreaker_converge_lua_Description"                                                         "Dawnbreaker возвращает свой молот, сближая их так, чтобы они встретились посередине."
	
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua"                                                                   "Luminosity"
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_Description"                                                       "После %attack_count% атак, Dawnbreaker заряжается, заряжая свою следующую атаку критическим ударом, который исцеляет всех союзных героев поблизости на часть нанесенного урона от атаки. Крипы и нейтральные враги дают меньше исцеления. Союзники получают меньшее лечение."
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_heal_radius"                                                       "РАДИУС ЛЕЧЕНИЯ:"
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_heal_pct"                                                          "%ЛЕЧЕНИЕ ОТ КАПИТАНОВ:"
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_allied_healing_pct"                                                "%ИЗЛЕЧЕНИЕ СОЮЗНИКОВ:"
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_bonus_damage"                                                      "%КРИТИЧЕСКИЙ УРОН:"
	"DOTA_Tooltip_Ability_dawnbreaker_luminosity_lua_heal_from_creeps"                                                  "%ШТРАФ К ЛЕЧЕНИЮ ОТ НЕ КАПИТАНОВ:"
	
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua"                                                               "Solar Guardian"
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_Description"                                                   "Dawnbreaker создает эффект пульсации в определенном месте, нанося урон врагам и исцеляя союзников каждым импульсом. Через короткое время она летит к выбранному месту, нанося дополнительный урон и оглушая врагов при приземлении. Будучи направленным, Dawnbreaker не может остановить способность."
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_radius"                                                        "РАДИУС ПРИЗЕМЛЕНИЯ:"
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_channel_time"                                                  "ВРЕМЯ ПРИМЕНЕНЯ:"
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_base_damage"                                                   "УРОН ЗА ПУЛЬСАЦИЮ:"
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_base_heal"                                                     "ЛЕЧЕНИЕ ЗА ПУЛЬСАЦИЮ:"
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_land_damage"                                                   "УРОН ОТ ПРИЗЕМЛЕНИЯ:"
	"DOTA_Tooltip_Ability_dawnbreaker_solar_guardian_lua_land_stun_duration"                                            "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
	
	
	//>---------------------------------------
	//>--- MINOR SHARD -----------------------
	//>---------------------------------------
	
	
	"dawnbreaker_starbreaker_lua_swipe_damage"			                                                            "+{s:value} к урону от взмахов {s:ability_name}"
	"dawnbreaker_starbreaker_lua_smash_damage"			                                                            "+{s:value} к урону от удара {s:ability_name}"
	"dawnbreaker_starbreaker_lua_smash_radius"			                                                            "+{s:value} к радиуса {s:ability_name}"
